"Date","Description","Work Time (Formatted)","Work Time (Seconds)","Rest Time (Formatted)","Rest Time (Seconds)","Work Distance","Rest Distance","Stroke Rate/Cadence","Stroke Count","Pace","Avg Watts","Cal/Hour","Avg Heart Rate","Drag Factor","Age","Weight","Type","Ranked","Comments"
"2012-08-28 00:00:00","7,400m row","42:00.0","2520","","","7400","","","","2:50.2","71","544","","","56","Lwt","Indoor Rower","No",""
"2012-08-27 00:00:00","8,800m row","49:00.0","2940","","","8800","","","","2:47.0","75","558","","","56","Lwt","Indoor Rower","No",""
"2012-08-26 00:00:00","9,000m row","52:00.0","3120","","","9000","","","","2:53.3","67","531","","","56","Lwt","Indoor Rower","No","146.75 lb"
"2012-08-25 00:00:00","0m row","","0","","","0","","","","","","","","","56","Lwt","Indoor Rower","No",""
"2012-08-24 00:00:00","4,900m row","30:00.0","1800","","","4900","","","","3:03.6","56","494","","","56","Lwt","Indoor Rower","No",""
"2012-08-23 00:00:00","7,600m row","42:00.0","2520","","","7600","","","","2:45.7","77","564","","","56","Lwt","Indoor Rower","No","146"
"2012-08-22 00:00:00","7,800m row","46:00.0","2760","","","7800","","","","2:56.9","63","517","","","56","Lwt","Indoor Rower","No",""
"2012-08-21 00:00:00","7,800m row","44:00.0","2640","","","7800","","","","2:49.2","72","548","","","56","Lwt","Indoor Rower","No",""
"2012-08-20 00:00:00","2,000m row","10:08.7","608.7","","","2000","","","","2:32.1","99","641","","","56","Lwt","Indoor Rower","Yes","28 s/m, 641 cal/h,99W, drag 130, #1,"
"2012-08-19 00:00:00","5,470m row","30:00.0","1800","","","5470","","","","2:44.5","79","570","","","56","Lwt","Indoor Rower","Yes","24 s/m, 570 cal/h,79W, drag 126, #1,"
"2012-08-18 00:00:00","8,292m row","48:00.0","2880","","","8292","","","","2:53.6","67","530","","","56","Lwt","Indoor Rower","No","25 s/m @2:54 529 drag 120 67W, machine #3"
"2012-08-18 00:00:00","500m row","2:31.2","151.2","","","500","","","","2:31.2","101","648","","","56","Lwt","Indoor Rower","Yes","32 s/m @2:31.2 648 drag 120 101W, machine #3"
"2012-08-17 00:00:00","7,000m row","38:39.9","2319.9","","","7000","","","","2:45.7","77","564","","","56","Lwt","Indoor Rower","No","24 s/m @2.46, 564 cal/h, drag 128, 77 W, machine #3"
"2012-08-16 00:00:00","2,000m row","11:48.0","708","","","2000","","","","2:57.0","63","517","","","56","Lwt","Indoor Rower","No",""
"2012-08-16 00:00:00","500m row","2:38.9","158.9","","","500","","","","2:38.9","87","600","","","56","Lwt","Indoor Rower","No","26 s/m, @2.38, 604 cal/hr, drag 117, , 88 W, machine #2"
"2012-08-16 00:00:00","2,000m row","10:32.9","632.9","","","2000","","","","2:38.2","88","604","","","56","Lwt","Indoor Rower","No","26 s/m, @2:38, 604 cal/h, drag 117, 88 W, machine #2"
"2012-08-16 00:00:00","2,000m row","11:42.9","702.9","","","2000","","","","2:55.7","65","522","","","56","Lwt","Indoor Rower","No","22 s/m, @2.56, 522 cal/h, 65 w, drag 117 machine #2"
"2012-08-15 00:00:00","0m row","","0","","","0","","","","","","","","","56","Lwt","Indoor Rower","No",""
